id,producent_id,hodnota,jednotka,uroven,zdroj,poznamka
170,610,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
171,611,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
172,612,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
173,613,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
174,615,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
175,616,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
176,617,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
177,618,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
178,619,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
179,620,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
180,621,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
181,622,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
