id,producent_id,hodnota,jednotka,uroven,zdroj,poznamka
69,350,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
70,351,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
71,352,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
72,353,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
73,354,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
74,355,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
75,356,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
76,357,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
77,358,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
78,359,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
79,360,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
80,361,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
81,362,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
82,363,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
83,364,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
