ico,nazov,obec,okres,kraj,sektor,typ_nazov,kapacita,kapacita_jednotka,kapacita_uroven,odpad,katalogove_cislo_navrh,t_rok_min,t_rok_stred,t_rok_max
00614866,Stredná odborná škola pedagogická sv. Márie Goretti,Čadca,Čadca,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00617652,"Stredná odborná škola obchodu a služieb, Rožňavská Baňa 211, Rožňava",Rožňava,Rožňava,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00617750,"Stredná odborná škola obchodu a služieb, Mierová 1973/79, Humenné",Humenné,Humenné,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00651117,"Stredná odborná škola dopravná, Rosinská 3126/2, Žilina",Žilina,Žilina,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00686981,"Súkromná stredná odborná škola služieb, Hviezdoslavova 11, Bardejov",Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00893315,"Stredná odborná škola techniky a služieb, Pod amfiteátrom 7, Levice",Levice,Levice,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00893331,"Stredná odborná škola informačných technológií, Ostrovského 1, Košice",Košice - mestská časť Juh,Košice IV,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00893692,Stredná odborná škola polytechnická a služieb arm. gen. L. Svobodu,Svidník,Svidník,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
11882115,Súkromná stredná odborná škola obchodu a služieb s VJM,Mostová,Galanta,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17050111,Gymnázium Juraja Szondyho s VJM,Šahy,Levice,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
