ico,nazov,obec,okres,kraj,sektor,typ_nazov,kapacita,kapacita_jednotka,kapacita_uroven,odpad,katalogove_cislo_navrh,t_rok_min,t_rok_stred,t_rok_max
36509108,"Nemocnica Snina, s.r.o.",Snina,Snina,Prešovský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36513458,"Nemocnica Poprad, a.s.",Poprad,Poprad,Prešovský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36594849,Nemocnica AGEL Levoča a.s.,Levoča,Levoča,Prešovský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36597341,"Nemocnica s poliklinikou sv. Barbory Rožňava, a.s.",Rožňava,Rožňava,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36597350,"Nemocnica s poliklinikou Spišská Nová Ves, a.s.",Spišská Nová Ves,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36597376,"Nemocnica s poliklinikou Trebišov, a.s.",Trebišov,Trebišov,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36648701,1. Súkromné Banskobystrické gymnázium s.r.o.,Banská Bystrica,Banská Bystrica,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
36713091,"Nemocnica s poliklinikou Hlohovec, s.r.o.",Hlohovec,Hlohovec,Trnavský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
37796046,"Cirkevná spojená škola, Švermova 10, Snina",Snina,Snina,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37810421,"Základná škola Janka Kráľa, Žiarska 679/13, Liptovský Mikuláš",Liptovský Mikuláš,Liptovský Mikuláš,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37810472,"Základná škola Miloša Janošku, Ul. čs. brigády 4, Liptovský Mikuláš",Liptovský Mikuláš,Liptovský Mikuláš,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37810481,"Základná škola s materskou školou, Starojánska 11/11, Liptovský Ján",Liptovský Ján,Liptovský Mikuláš,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37811711,"Základná škola Alexandra Dubčeka, Družstevná 11, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37811860,"Základná škola, Nade Hejnej 4, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37811894,"Základná škola s materskou školou, Podhájska 10A, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37811924,"Základná škola, P. Mudroňa 3, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37812009,"Základná škola s materskou školou, Priehradná 11, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37812416,"Školská jedáleň, M. R. Štefánika 1, Vrútky",Vrútky,Martin,Žilinský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
37812556,"Materská škola, Horný Vadičov 515",Horný Vadičov,Kysucké Nové Mesto,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37812769,"Materská škola, Kysucký Lieskovec 309",Kysucký Lieskovec,Kysucké Nové Mesto,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37814036,"Materská škola, Pod brehom 207, Hruštín",Hruštín,Námestovo,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37815687,"Materská škola, Východná 715",Východná,Liptovský Mikuláš,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37828851,"Základná škola Lajosa Mocsáryho s VJM, Farská lúka 64/B, Fiľakovo",Fiľakovo,Lučenec,Banskobystrický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37831291,"Základná škola s materskou školou, Krivec 1355, Hriňová",Hriňová,Detva,Banskobystrický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37833472,"Základná škola s materskou školou Juraja Slávika Neresnického, Dobrá Niva",Dobrá Niva,Zvolen,Banskobystrický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37836374,"Základná škola s VJM - Alapiskola, Rohovce 106",Rohovce,Dunajská Streda,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37836714,"Základná škola s materskou školou Istvána Széchenyiho s VJM, Hlavná 299, Horné Saliby",Horné Saliby,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37836781,"Základná škola s materskou školou, Na výhone 188/16, Moravany nad Váhom",Moravany nad Váhom,Piešťany,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37838521,"Základná škola, Sasinkova 530/2, Kopčany",Kopčany,Michalovce,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37840576,"Základná škola s materskou školou s VJM, Mostová 210",Mostová,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37840592,"Základná škola, Vinohrady nad Váhom 347",Vinohrady nad Váhom,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37840631,"Základná škola s materskou školou, Veľký Grob 382",Veľký Grob,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37840657,"Základná škola s materskou školou, Smolinské 407",Smolinské,Senica,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37841491,"Materská škola, Nám. A. Hlinku 32, Cífer",Cífer,Trnava,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37842129,"Materská škola, Dr. Clementisa 59, Skalica",Skalica,Skalica,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37842323,"Materská škola, Štefana Majora 1393/175, Veľké Úľany",Veľké Úľany,Galanta,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37842382,"Materská škola, Lazová 926/5, Pata",Pata,Galanta,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37843061,"Materská škola, Radošovce 13",Radošovce,Skalica,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37844016,"Materská škola, Sídlisko 9. mája 322, Vrbové",Vrbové,Piešťany,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37847481,"Školská jedáleň, Štefana Majora 1444/83, Veľké Úľany",Veľké Úľany,Galanta,Trnavský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
37851888,"Základná škola s materskou školou Józsefa Bódisa s VJM, Čenkovce 95",Čenkovce,Dunajská Streda,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37855735,"Materská škola, Dvorany nad Nitrou 22",Dvorany nad Nitrou,Topoľčany,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37861077,"Školská jedáleň, Adyho 4, Štúrovo",Štúrovo,Nové Zámky,Nitriansky,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
37863606,"Materská škola, Družstevná 22, Šaľa",Šaľa,Šaľa,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37863894,"Základná škola s materskou školou Juraja Holčeka, Dolný Ohaj",Dolný Ohaj,Nové Zámky,Nitriansky,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37864122,"Materská škola, MDŽ 26, Šurany",Šurany,Nové Zámky,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37866672,"Základná škola s materskou školou, Dolný Jatov 189",Jatov,Nové Zámky,Nitriansky,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37874004,"Základná škola s materskou školou, Pod papierňou 16A, Bardejov",Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37874021,"Základná škola, Wolkerova 10, Bardejov",Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37874217,"Základná škola s materskou školou, Spišské Hanušovce 66",Spišské Hanušovce,Kežmarok,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37874314,"Materská škola, Školská 231/2, Huncovce",Huncovce,Kežmarok,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37876457,"Základná škola s materskou školou, Školská 42/22, Vikartovce",Vikartovce,Poprad,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37876643,"Materská škola, Duk. hrdinov 2078/13, Snina",Snina,Snina,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37876899,"Spojená škola, Letná ulica 3453/34, Poprad",Poprad,Poprad,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37880080,"Stredná odborná škola služieb, Košická 20, Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37883658,"Základná škola s materskou školou, Smilno 205",Smilno,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37886436,Nemocnica Dr. Vojtecha Alexandra v Kežmarku n.o.,Kežmarok,Kežmarok,Prešovský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
37886851,"Ľubovnianska nemocnica, n.o.",Stará Ľubovňa,Stará Ľubovňa,Prešovský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
37886908,"Súkromná školská jedáleň, n. o. Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
37903152,"Materská škola, Lietava 368",Lietava,Žilina,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37904591,"Materská škola, Svrčinovec 856",Svrčinovec,Čadca,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37904957,"Materská škola, Čajakova 4A, Žilina",Žilina,Žilina,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37904990,"Materská škola, Smrečany 117",Smrečany,Liptovský Mikuláš,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37905074,"Materská škola, Stavbárska 4, Žilina",Žilina,Žilina,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37906089,"Materská škola, Ochodnica 355",Ochodnica,Kysucké Nové Mesto,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37909533,"Spojená škola Kráľovnej pokoja, Na Závaží 2, Žilina",Žilina,Žilina,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37909631,"Materská škola, Korňa 720",Korňa,Čadca,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37939076,Súkromné gymnázium DSA,Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37942484,"Stredná odborná škola technická, Družstevná 1474/19, Humenné",Humenné,Humenné,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37942743,"Spojená škola sv. Jána Pavla II., Dlhé hony 3522/2, Poprad",Poprad,Poprad,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37947541,"Stredná odborná škola polytechnická Jána Antonína Baťu, Svit",Svit,Poprad,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37947958,"Materská škola, Partizánska 22, Humenné",Humenné,Humenné,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37950410,"Cirkevná školská jedáleň, Daxnerova ul. 42, Rimavská Sobota",Rimavská Sobota,Rimavská Sobota,Banskobystrický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
37954571,Všeobecná nemocnica s poliklinikou Lučenec n.o.,Lučenec,Lučenec,Banskobystrický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
37957660,"Materská škola, marš. Malinovského 1985/41, Zvolen",Zvolen,Zvolen,Banskobystrický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37958470,"Katolícka spojená škola sv. Františka Assiského, Banská Štiavnica",Banská Štiavnica,Banská Štiavnica,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
37959999,"Materská škola, Lhenická 34, Budča",Budča,Zvolen,Banskobystrický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37961161,"Materská škola, Farská ulica 1274/2, Cabaj-Čápor",Cabaj-Čápor,Nitra,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37961284,"Materská škola, Nám. Gy. Széchényiho 3, Nové Zámky",Nové Zámky,Nové Zámky,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
37971832,"Špecializovaná nemocnica sv. Svorada Zobor, n.o.",Nitra,Nitra,Nitriansky,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
37990357,"Základná škola s materskou školou, Kornela Mahra 11, Trnava",Trnava,Trnava,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
37990411,"Materská škola, Lúčky 14, Holíč",Holíč,Skalica,Trnavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42011701,Súkromné gymnázium Banskobystrické,Banská Bystrica,Banská Bystrica,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42026393,"Stredná odborná škola technická, Bratislavská 439/18, Dubnica nad Váhom",Dubnica nad Váhom,Ilava,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42029503,"Materská škola, Dubovica 48",Dubovica,Sabinov,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42035261,"Spojená škola Juraja Henischa, Slovenská 5, Bardejov",Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42085438,"Materská škola, Antona Prídavka 1, Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42089824,"Spojená škola internátna, Levočská 24, Stará Ľubovňa",Stará Ľubovňa,Stará Ľubovňa,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42090598,"Spojená škola Jána Vojtaššáka internátna, Levoča",Levoča,Levoča,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42102201,"Materská škola, Richnava 260",Richnava,Gelnica,Košický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42102553,"Súkromná spojená škola EDURAM, Krompachy",Krompachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42109191,"Cirkevná spojená škola, Komenského 6, Spišské Vlachy",Spišské Vlachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42114985,Súkromná stredná odborná škola polytechnická DSA,Nitra,Nitra,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42152411,Súkromné gymnázium FUTURUM,Trenčín,Trenčín,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42176182,"Spojená škola sv. Františka z Assisi, Karloveská 32, Bratislava",Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42187184,"Materská škola, 29. augusta 64, Hronec",Hronec,Brezno,Banskobystrický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42213738,"Materská škola, Klokočov 976",Klokočov,Čadca,Žilinský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42224055,"Evanjelická spojená škola, M. R. Štefánika 19, Martin",Martin,Martin,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42228409,"Materská škola, Čsl. letcov 2, Ľubotice",Ľubotice,Prešov,Prešovský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42228760,"Súkromná školská jedáleň, Volgogradská 3, Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
42243378,"Spojená škola, J. A. Komenského 5, Rožňava",Rožňava,Rožňava,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42251001,"Súkromná školská jedáleň, Užhorodská 39, Košice",Košice - mestská časť Juh,Košice IV,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
42258120,"Spojená škola de La Salle, Čachtická 14, Bratislava",Bratislava - mestská časť Rača,Bratislava III,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42278236,Spojená škola Nitrianske Pravno,Nitrianske Pravno,Prievidza,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42280885,"Súkromná spojená škola, M. Falešníka 6, Prievidza",Prievidza,Prievidza,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42293570,"Súkromná školská jedáleň, Mostová 53",Mostová,Galanta,Trnavský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
42302188,"Školská jedáleň, SNP 1026, Kalinovo",Kalinovo,Poltár,Banskobystrický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
42303117,"Materská škola, Nám. SNP 17, Detva",Detva,Detva,Banskobystrický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42308763,"Materská škola, Malinovského 874, Krupina",Krupina,Krupina,Banskobystrický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42319234,Premonštrátske gymnázium,Košice,Košice I,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42324157,"Materská škola, Ruskov 280",Ruskov,Košice - okolie,Košický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42330238,"Školská jedáleň, Juhoslovanská 2, Košice",Košice - mestská časť Sídlisko Ťahanovce,Košice I,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
42337071,"Materská škola, Sľažany 321",Sľažany,Zlaté Moravce,Nitriansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
42422132,Súkromná stredná odborná škola pedagogická EBG,Humenné,Humenné,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
42447470,"Materská škola, Koniarkova 9, Bratislava",Bratislava - mestská časť Vajnory,Bratislava III,Bratislavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
43956513,"Nemocnica Banská Štiavnica, a.s.",Banská Štiavnica,Banská Štiavnica,Banskobystrický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
