ico,nazov,obec,okres,kraj,lat,lon,sektor,typ_nazov,odpad_kod,odpad,katalogove_cislo_navrh,pravny_status,sezonnost,uroven_dokazu
30866065,"Základná škola s materskou školou, Pernek 285",Pernek,Malacky,Bratislavský,48.368333,17.143541,Gastro a stravovacie zariadenia,Základná škola,gastro_kavova_sedlina,Kávová sedlina z gastroprevádzok,20 01 08,odpad,celorocne,D
30866065,"Základná škola s materskou školou, Pernek 285",Pernek,Malacky,Bratislavský,48.368333,17.143541,Gastro a stravovacie zariadenia,Základná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
30868645,Súkromná stredná odborná škola pedagogická a sociálna,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,48.160464,17.047532,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
30868645,Súkromná stredná odborná škola pedagogická a sociálna,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,48.160464,17.047532,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
30868645,Súkromná stredná odborná škola pedagogická a sociálna,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,48.160464,17.047532,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
30868645,Súkromná stredná odborná škola pedagogická a sociálna,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,48.160464,17.047532,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
30996261,"MJM agro Cetín, s.r.o.",Levice,Levice,Nitriansky,48.216667,18.6,Poľnohospodárstvo a chov,Poľnohospodársky podnik,slama_obilna,Obilná slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
30996261,"MJM agro Cetín, s.r.o.",Levice,Levice,Nitriansky,48.216667,18.6,Poľnohospodárstvo a chov,Poľnohospodársky podnik,kukuricne_korovie,Kukuričné kôrovie a stonky,02 01 03,vedlajsi_produkt,sezonne_jesen,D
30996261,"MJM agro Cetín, s.r.o.",Levice,Levice,Nitriansky,48.216667,18.6,Poľnohospodárstvo a chov,Poľnohospodársky podnik,repkova_slama,Repková slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
30996261,"MJM agro Cetín, s.r.o.",Levice,Levice,Nitriansky,48.216667,18.6,Poľnohospodárstvo a chov,Poľnohospodársky podnik,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
30996261,"MJM agro Cetín, s.r.o.",Levice,Levice,Nitriansky,48.216667,18.6,Poľnohospodárstvo a chov,Poľnohospodársky podnik,travna_hmota_ttp,Trávna hmota z lúk a TTP,02 01 03,vedlajsi_produkt,sezonne_leto,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slama_obilna,Obilná slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,kukuricne_korovie,Kukuričné kôrovie a stonky,02 01 03,vedlajsi_produkt,sezonne_jesen,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,repkova_slama,Repková slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,travna_hmota_ttp,Trávna hmota z lúk a TTP,02 01 03,vedlajsi_produkt,sezonne_leto,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnoj_hovadzi,Maštaľný hnoj hovädzí,02 01 06,odpad,celorocne,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnojovica_osipane,Hnojovica ošípaných,02 01 06,odpad,celorocne,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
30998034,Poľnohospodárske družstvo Okánikovo,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slnecnicove_stonky,Slnečnicové stonky a úbory,02 01 03,odpad,sezonne_jesen,D
30999847,Centrum sociálnych služieb - Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,48.721667,18.259826,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,nemocnicny_kuchynsky_odpad,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,odpad,celorocne,D
30999847,Centrum sociálnych služieb - Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,48.721667,18.259826,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
30999847,Centrum sociálnych služieb - Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,48.721667,18.259826,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31102701,LYKO s.r.o.,Stupava,Malacky,Bratislavský,48.273132,17.032746,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,piliny,Piliny a hobliny,03 01 05,vedlajsi_produkt,celorocne,D
31102701,LYKO s.r.o.,Stupava,Malacky,Bratislavský,48.273132,17.032746,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,kora,Odpadová kôra,03 01 01,vedlajsi_produkt,celorocne,D
31102701,LYKO s.r.o.,Stupava,Malacky,Bratislavský,48.273132,17.032746,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,odrezky_dreva,Odrezky a drevný odpad,03 01 05,vedlajsi_produkt,celorocne,D
31105394,Zariadenie sociálnych služieb Zelený dom Skalica,Skalica,Skalica,Trnavský,48.770797,17.20201,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,nemocnicny_kuchynsky_odpad,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,odpad,celorocne,D
31105394,Zariadenie sociálnych služieb Zelený dom Skalica,Skalica,Skalica,Trnavský,48.770797,17.20201,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31105394,Zariadenie sociálnych služieb Zelený dom Skalica,Skalica,Skalica,Trnavský,48.770797,17.20201,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slama_obilna,Obilná slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,kukuricne_korovie,Kukuričné kôrovie a stonky,02 01 03,vedlajsi_produkt,sezonne_jesen,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,repkova_slama,Repková slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,travna_hmota_ttp,Trávna hmota z lúk a TTP,02 01 03,vedlajsi_produkt,sezonne_leto,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnoj_hovadzi,Maštaľný hnoj hovädzí,02 01 06,odpad,celorocne,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnojovica_osipane,Hnojovica ošípaných,02 01 06,odpad,celorocne,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
31106161,Poľnohospodárske družstvo Zlatná na Ostrove,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slnecnicove_stonky,Slnečnicové stonky a úbory,02 01 03,odpad,sezonne_jesen,D
31118682,Centrum sociálnych služieb - DOMOV JAVORINA,Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,nemocnicny_kuchynsky_odpad,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,odpad,celorocne,D
31118682,Centrum sociálnych služieb - DOMOV JAVORINA,Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31118682,Centrum sociálnych služieb - DOMOV JAVORINA,Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31193897,OAZIS - Zariadenie sociálnych služieb,Komárno,Komárno,Nitriansky,47.757388,18.129917,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,nemocnicny_kuchynsky_odpad,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,odpad,celorocne,D
31193897,OAZIS - Zariadenie sociálnych služieb,Komárno,Komárno,Nitriansky,47.757388,18.129917,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31193897,OAZIS - Zariadenie sociálnych služieb,Komárno,Komárno,Nitriansky,47.757388,18.129917,Gastro a stravovacie zariadenia,Zariadenie sociálnych služieb,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31305288,Evanjelické gymnázium Jana Amosa Komenského,Košice,Košice I,Košický,48.717227,21.249677,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
31305288,Evanjelické gymnázium Jana Amosa Komenského,Košice,Košice I,Košický,48.717227,21.249677,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31305288,Evanjelické gymnázium Jana Amosa Komenského,Košice,Košice I,Košický,48.717227,21.249677,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
31305288,Evanjelické gymnázium Jana Amosa Komenského,Košice,Košice I,Košický,48.717227,21.249677,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
31321828,"TESCO STORES SR, a.s.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
31347037,BILLA s.r.o.,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,Retail a distribúcia potravín,Obchodný reťazec,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
31386563,Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.,Bratislava,Bratislava I,Bratislavský,48.153538,17.109671,Gastro a stravovacie zariadenia,Nemocnica,nemocnicny_kuchynsky_odpad,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,odpad,celorocne,D
31386563,Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.,Bratislava,Bratislava I,Bratislavský,48.153538,17.109671,Gastro a stravovacie zariadenia,Nemocnica,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31386563,Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.,Bratislava,Bratislava I,Bratislavský,48.153538,17.109671,Gastro a stravovacie zariadenia,Nemocnica,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
31408265,"PEKÁREŇ UNO, spol. s r.o.",Cabaj - Čápor,Nitra,Nitriansky,48.245665,18.023092,Potravinárstvo a nápoje,Pekáreň,pekarenske_zvysky,Pekárenské zvyšky,02 06 01,vedlajsi_produkt,celorocne,D
31408265,"PEKÁREŇ UNO, spol. s r.o.",Cabaj - Čápor,Nitra,Nitriansky,48.245665,18.023092,Potravinárstvo a nápoje,Pekáreň,cestovinove_zvysky,Cestovinové a múčne zvyšky,02 06 01,vedlajsi_produkt,celorocne,D
31410146,"Priemyselný park Štúrovo, a. s.",Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,papierensky_kal,Papierenský kal,03 03 11,odpad,celorocne,D
31410146,"Priemyselný park Štúrovo, a. s.",Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,vlaknity_vymet,Výmety z vlákien a plnív,03 03 10,odpad,celorocne,D
31410146,"Priemyselný park Štúrovo, a. s.",Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,kora,Odpadová kôra,03 01 01,vedlajsi_produkt,celorocne,D
31412271,LEVICKÉ MLIEKÁRNE a.s.,Levice,Levice,Nitriansky,48.216667,18.6,Potravinárstvo a nápoje,Mliekáreň,srvatka_sladka,Sladká srvátka,02 05 01,vedlajsi_produkt,celorocne,D
31412271,LEVICKÉ MLIEKÁRNE a.s.,Levice,Levice,Nitriansky,48.216667,18.6,Potravinárstvo a nápoje,Mliekáreň,srvatka_kysla,Kyslá srvátka,02 05 01,odpad,celorocne,D
31412271,LEVICKÉ MLIEKÁRNE a.s.,Levice,Levice,Nitriansky,48.216667,18.6,Potravinárstvo a nápoje,Mliekáreň,srvatkovy_permeat,Srvátkový permeát,02 05 01,vedlajsi_produkt,celorocne,D
31412271,LEVICKÉ MLIEKÁRNE a.s.,Levice,Levice,Nitriansky,48.216667,18.6,Potravinárstvo a nápoje,Mliekáreň,cmar,Cmar,02 05 01,krmna_surovina,celorocne,D
31412271,LEVICKÉ MLIEKÁRNE a.s.,Levice,Levice,Nitriansky,48.216667,18.6,Potravinárstvo a nápoje,Mliekáreň,mliekarensky_kal,Kal z mliekarenskej ČOV,02 05 02,odpad,celorocne,D
31412408,Topoľčianske pekárne a cukrárne a.s. skrátený názov TOPEC a.s.,Topoľčany,Topoľčany,Nitriansky,48.559116,18.176052,Potravinárstvo a nápoje,Pekáreň,pekarenske_zvysky,Pekárenské zvyšky,02 06 01,vedlajsi_produkt,celorocne,D
31412408,Topoľčianske pekárne a cukrárne a.s. skrátený názov TOPEC a.s.,Topoľčany,Topoľčany,Nitriansky,48.559116,18.176052,Potravinárstvo a nápoje,Pekáreň,cestovinove_zvysky,Cestovinové a múčne zvyšky,02 06 01,vedlajsi_produkt,celorocne,D
31412459,"Mlyn Pohronský Ruskov, a.s.",Pohronský Ruskov,Levice,Nitriansky,47.983333,18.666667,Potravinárstvo a nápoje,Mlyn,psenicne_otruby,Pšeničné otruby,02 03 04,krmna_surovina,celorocne,D
31412459,"Mlyn Pohronský Ruskov, a.s.",Pohronský Ruskov,Levice,Nitriansky,47.983333,18.666667,Potravinárstvo a nápoje,Mlyn,mlynske_zmetky,Mlynské zmetky a plevy,02 03 04,vedlajsi_produkt,celorocne,D
31412459,"Mlyn Pohronský Ruskov, a.s.",Pohronský Ruskov,Levice,Nitriansky,47.983333,18.666667,Potravinárstvo a nápoje,Mlyn,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
31414958,ABC HOTEL s.r.o.,Nitra,Nitra,Nitriansky,48.31257,18.09061,Gastro a stravovacie zariadenia,Hotel,gastro_kuchynsky_odpad,Kuchynský odpad z reštaurácií a hotelov,20 01 08,odpad,celorocne,D
31414958,ABC HOTEL s.r.o.,Nitra,Nitra,Nitriansky,48.31257,18.09061,Gastro a stravovacie zariadenia,Hotel,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
31414958,ABC HOTEL s.r.o.,Nitra,Nitra,Nitriansky,48.31257,18.09061,Gastro a stravovacie zariadenia,Hotel,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
31414958,ABC HOTEL s.r.o.,Nitra,Nitra,Nitriansky,48.31257,18.09061,Gastro a stravovacie zariadenia,Hotel,gastro_kavova_sedlina,Kávová sedlina z gastroprevádzok,20 01 08,odpad,celorocne,D
31414958,ABC HOTEL s.r.o.,Nitra,Nitra,Nitriansky,48.31257,18.09061,Gastro a stravovacie zariadenia,Hotel,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
31424384,AGROVAŽAN s.r.o.,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,Poľnohospodárstvo a chov,Poľnohospodársky podnik,slama_obilna,Obilná slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31424384,AGROVAŽAN s.r.o.,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,Poľnohospodárstvo a chov,Poľnohospodársky podnik,kukuricne_korovie,Kukuričné kôrovie a stonky,02 01 03,vedlajsi_produkt,sezonne_jesen,D
31424384,AGROVAŽAN s.r.o.,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,Poľnohospodárstvo a chov,Poľnohospodársky podnik,repkova_slama,Repková slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31424384,AGROVAŽAN s.r.o.,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,Poľnohospodárstvo a chov,Poľnohospodársky podnik,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
31424384,AGROVAŽAN s.r.o.,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,Poľnohospodárstvo a chov,Poľnohospodársky podnik,travna_hmota_ttp,Trávna hmota z lúk a TTP,02 01 03,vedlajsi_produkt,sezonne_leto,D
31424945,MLYN - verejná obchodná spoločnosť,Veľké Lovce,Nové Zámky,Nitriansky,48.066661,18.333335,Potravinárstvo a nápoje,Mlyn,psenicne_otruby,Pšeničné otruby,02 03 04,krmna_surovina,celorocne,D
31424945,MLYN - verejná obchodná spoločnosť,Veľké Lovce,Nové Zámky,Nitriansky,48.066661,18.333335,Potravinárstvo a nápoje,Mlyn,mlynske_zmetky,Mlynské zmetky a plevy,02 03 04,vedlajsi_produkt,celorocne,D
31424945,MLYN - verejná obchodná spoločnosť,Veľké Lovce,Nové Zámky,Nitriansky,48.066661,18.333335,Potravinárstvo a nápoje,Mlyn,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
31425399,Píla Podlužany spol. s r.o.,Podlužany,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,piliny,Piliny a hobliny,03 01 05,vedlajsi_produkt,celorocne,D
31425399,Píla Podlužany spol. s r.o.,Podlužany,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,kora,Odpadová kôra,03 01 01,vedlajsi_produkt,celorocne,D
31425399,Píla Podlužany spol. s r.o.,Podlužany,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,"Drevo, lesníctvo a ostatné",Píla a drevospracovanie,odrezky_dreva,Odrezky a drevný odpad,03 01 05,vedlajsi_produkt,celorocne,D
31429254,"Ed. Haas SK, s.r.o.",Holíč,Skalica,Trnavský,48.8,17.166667,Potravinárstvo a nápoje,Výroba cukroviniek,cukrovinkarske_zvysky,Zvyšky z výroby cukroviniek,02 06 01,vedlajsi_produkt,celorocne,D
31429254,"Ed. Haas SK, s.r.o.",Holíč,Skalica,Trnavský,48.8,17.166667,Potravinárstvo a nápoje,Výroba cukroviniek,kavove_slupky,Kávové šupky (silverskin),02 03 04,vedlajsi_produkt,celorocne,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slama_obilna,Obilná slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,kukuricne_korovie,Kukuričné kôrovie a stonky,02 01 03,vedlajsi_produkt,sezonne_jesen,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,repkova_slama,Repková slama,02 01 03,vedlajsi_produkt,sezonne_leto,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,travna_hmota_ttp,Trávna hmota z lúk a TTP,02 01 03,vedlajsi_produkt,sezonne_leto,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnoj_hovadzi,Maštaľný hnoj hovädzí,02 01 06,odpad,celorocne,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,hnojovica_osipane,Hnojovica ošípaných,02 01 06,odpad,celorocne,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,odpad_cistenie_zrna,Odpad z čistenia a sušenia obilia,02 01 03,vedlajsi_produkt,sezonne_leto,D
31431631,Poľnohospodárske družstvo Kálnica,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,Poľnohospodárstvo a chov,Poľnohospodárske družstvo,slnecnicove_stonky,Slnečnicové stonky a úbory,02 01 03,odpad,sezonne_jesen,D
31434118,HYDINÁRI s.r.o.,Veľké Zálužie,Nitra,Nitriansky,48.308171,17.940569,Poľnohospodárstvo a chov,Hydinárska prevádzka,perie,Perie z hydinových bitúnkov,02 02 02,odpad,celorocne,D
31434118,HYDINÁRI s.r.o.,Veľké Zálužie,Nitra,Nitriansky,48.308171,17.940569,Poľnohospodárstvo a chov,Hydinárska prevádzka,hydinovy_trus,Hydinový trus a podstielka,02 01 06,odpad,celorocne,D
31434118,HYDINÁRI s.r.o.,Veľké Zálužie,Nitra,Nitriansky,48.308171,17.940569,Poľnohospodárstvo a chov,Hydinárska prevádzka,krv_bitunok,Krv z bitúnku,02 02 03,vedlajsi_produkt,celorocne,D
31434118,HYDINÁRI s.r.o.,Veľké Zálužie,Nitra,Nitriansky,48.308171,17.940569,Poľnohospodárstvo a chov,Hydinárska prevádzka,kadavery,Uhynuté zvieratá (kadávery),02 01 02,odpad,celorocne,D
