id,nazov,okres,kraj,lat,lon,typ
396,Jedľové Kostoľany,Zlaté Moravce,Nitriansky,48.466667,18.5,village
397,Palárikovo,Nové Zámky,Nitriansky,48.04401,18.069378,village
398,Ľubica,Kežmarok,Prešovský,49.11926,20.446757,town
399,Rudina,Kysucké Nové Mesto,Žilinský,49.283333,18.75,village
400,Tlmače,Levice,Nitriansky,48.292155,18.543288,village
401,Otrhánky,Bánovce nad Bebravou,Trenčiansky,48.693814,18.206999,village
402,Červená Voda,Sabinov,Prešovský,49.146,21.088,village
403,Topoľníky,Dunajská Streda,Trnavský,47.966677,17.783323,village
404,Kľače,Žilina,Žilinský,49.106091,18.647759,village
405,Krušovce,Topoľčany,Nitriansky,48.587898,18.201915,village
406,Hlboké nad Váhom,Bytča,Žilinský,49.21356,18.589554,village
407,Oravský Podzámok,Dolný Kubín,Žilinský,49.261134,19.357114,village
408,Bernolákovo,Senec,Bratislavský,48.199027,17.300361,village
409,Hrochoť,Banská Bystrica,Banskobystrický,48.655259,19.312134,village
410,Bátorove Kosihy,Komárno,Nitriansky,47.833333,18.416667,village
411,Krásna Ves,Bánovce nad Bebravou,Trenčiansky,48.835786,18.230924,village
412,Rapovce,Lučenec,Banskobystrický,48.273689,19.680832,village
413,Súdovce,Krupina,Banskobystrický,48.216667,18.833333,village
414,Necpaly,Martin,Žilinský,48.983333,18.983333,village
415,Očová,Zvolen,Banskobystrický,48.599127,19.286756,village
416,Melek,Nitra,Nitriansky,48.2,18.333333,village
417,Horovce,Michalovce,Košický,48.704265,21.768522,village
418,Donovaly,Banská Bystrica,Banskobystrický,48.879036,19.223947,hamlet
419,Margecany,Gelnica,Košický,48.893544,21.012272,village
420,Domaniža,Považská Bystrica,Trenčiansky,49.043114,18.551924,village
421,Dolná Súča,Trenčín,Trenčiansky,48.95799,18.033094,village
422,Koš,Prievidza,Trenčiansky,48.73968,18.586242,village
423,Ľubá,Nové Zámky,Nitriansky,47.849877,18.596253,village
424,Bzenov,Prešov,Prešovský,48.95,21.166667,village
425,Čaňa,Košice - okolie,Košický,48.60973,21.325644,village
426,Rybník,Revúca,Banskobystrický,48.550407,20.133912,village
427,Radošina,Topoľčany,Nitriansky,48.55,17.933333,village
428,Čierne,Čadca,Žilinský,49.387301,18.767884,okres_centroid
429,Vysoké Tatry,Poprad,Prešovský,49.137283,20.222448,village
430,Turňa nad Bodvou,Košice - okolie,Košický,48.600452,20.881877,village
431,Drahňov,Michalovce,Košický,48.583333,21.966667,village
432,Dobrá Voda,Trnava,Trnavský,48.596678,17.541932,village
433,Hubina,Piešťany,Trnavský,48.618016,17.886407,village
434,Košice - mestská časť Nad jazerom,Košice IV,Košický,48.687456,21.287603,suburb
435,Trnavá Hora,Žiar nad Hronom,Banskobystrický,48.59038,18.953488,village
436,Bošany,Partizánske,Trenčiansky,48.579391,18.255734,village
437,Žilina - Zádubnie,Žilina,Žilinský,49.223464,18.739498,city
438,Teplička nad Váhom,Žilina,Žilinský,49.233333,18.8,village
439,Spišská Teplica,Poprad,Prešovský,49.05,20.25,village
440,Staškov,Čadca,Žilinský,49.421675,18.691039,village
441,Košúty,Galanta,Trnavský,48.171511,17.656969,village
442,Spišské Podhradie,Levoča,Prešovský,49.000817,20.752504,village
443,Most pri Bratislave,Senec,Bratislavský,48.139812,17.268859,village
444,Hronské Kosihy,Levice,Nitriansky,48.266667,18.6,village
445,Králiky,Banská Bystrica,Banskobystrický,48.7355,19.035849,village
446,Olešná,Čadca,Žilinský,49.428876,18.666576,village
447,Malé Zálužie,Nitra,Nitriansky,48.44016,17.985146,village
448,Podolínec,Stará Ľubovňa,Prešovský,49.266667,20.533333,village
449,Opoj,Trnava,Trnavský,48.302946,17.641948,village
450,Rimavské Janovce,Rimavská Sobota,Banskobystrický,48.342051,20.062215,village
451,Rimavská Seč,Rimavská Sobota,Banskobystrický,48.304087,20.23735,village
452,Zlaté Klasy,Dunajská Streda,Trnavský,48.121323,17.421944,village
453,Giraltovce,Svidník,Prešovský,49.116295,21.517528,village
454,Poltár,Poltár,Banskobystrický,48.432586,19.793827,town
455,Kysucké Nové Mesto,Kysucké Nové Mesto,Žilinský,49.301674,18.785426,town
456,Rovné,Svidník,Prešovský,49.283333,21.533333,village
457,Zborov,Bardejov,Prešovský,49.366667,21.3,village
458,Bratislava - mestská časť Vrakuňa,Bratislava II,Bratislavský,48.143251,17.205724,suburb
459,Novoť,Námestovo,Žilinský,49.433333,19.266667,village
460,Veľké Leváre,Malacky,Bratislavský,48.501984,17.00306,village
461,Miloslavov,Senec,Bratislavský,48.103575,17.299044,village
462,Rajec,Žilina,Žilinský,49.087947,18.636664,town
463,Závada,Topoľčany,Nitriansky,48.64101,18.089173,village
464,Bystrička,Martin,Žilinský,49.05,18.883333,village
465,Lendak,Kežmarok,Prešovský,49.233333,20.35,village
466,Horná Ves,Prievidza,Trenčiansky,48.609859,18.488024,village
467,Bratislava - mestská časť Lamač,Bratislava IV,Bratislavský,48.194538,17.048575,suburb
468,Ludrová,Ružomberok,Žilinský,49.046667,19.331842,village
469,Štítnik,Rožňava,Košický,48.659884,20.363755,village
470,Liptovské Sliače,Ružomberok,Žilinský,49.061607,19.390697,village
471,Semerovo,Nové Zámky,Nitriansky,48.016667,18.35,village
472,Dolný Štál,Dunajská Streda,Trnavský,47.936163,17.718435,village
473,Dolná Streda,Galanta,Trnavský,48.266667,17.75,village
474,Krásna Lúka,Sabinov,Prešovský,49.193961,20.822502,village
475,Juskova Voľa,Vranov nad Topľou,Prešovský,48.883333,21.566667,village
476,Podtureň,Liptovský Mikuláš,Žilinský,49.053592,19.692702,village
477,Láb,Malacky,Bratislavský,48.363703,16.973293,village
478,Bratislava - mestská časť Dúbravka,Michalovce,Košický,48.633333,21.883333,village
