osm_id,nazov,nazov_norm,okres,kraj,typ,lon,lat
26036845,Ižipovce,izipovce,Liptovský Mikuláš,Žilinský,hamlet,19.5,49.15
26036846,Žabokreky nad Nitrou,zabokreky nad nitrou,Partizánske,Trenčiansky,village,18.30343,48.625191
26036847,Nesvady,nesvady,Komárno,Nitriansky,village,18.127526,47.929281
26036848,Uzovské Pekľany,uzovske peklany,Sabinov,Prešovský,village,21.024342,49.085712
26036849,Klokoč,klokoc,Detva,Banskobystrický,village,19.339285,48.502625
26036850,Huncovce,huncovce,Kežmarok,Prešovský,village,20.378184,49.117868
26036851,Kvačany,kvacany,Prešov,Prešovský,village,21.090996,48.946101
26036852,Nižné Repaše,nizne repase,Levoča,Prešovský,village,20.716667,49.083333
26036854,Podkonice,podkonice,Banská Bystrica,Banskobystrický,village,19.25,48.8
26036855,Potôčky,potocky,Stropkov,Prešovský,hamlet,21.716667,49.216667
26036856,Kozelník,kozelnik,Banská Štiavnica,Banskobystrický,hamlet,18.99644,48.512317
26036857,Dlhá nad Váhom,dlha nad vahom,Šaľa,Nitriansky,village,17.860896,48.171567
26036858,Dolné Strháre,dolne strhare,Veľký Krtíš,Banskobystrický,hamlet,19.390881,48.247052
26036859,Norovce,norovce,Topoľčany,Nitriansky,village,18.179388,48.631572
26036860,Trebostovo,trebostovo,Martin,Žilinský,village,18.866667,49.033333
26036861,Malé Ozorovce,male ozorovce,Trebišov,Košický,village,21.616667,48.683333
26036862,Litava,litava,Krupina,Banskobystrický,village,19.178936,48.298177
26036863,Jakubova Voľa,jakubova vola,Sabinov,Prešovský,village,21.016667,49.133333
26036864,Krušinec,krusinec,Stropkov,Prešovský,village,21.666667,49.233333
26036865,Nemčice,nemcice,Topoľčany,Nitriansky,village,18.124239,48.552617
26036866,Koválov,kovalov,Senica,Trnavský,village,17.283333,48.7
26036867,Okoč,okoc,Dunajská Streda,Trnavský,village,17.809046,47.886638
26036868,Fačkov,fackov,Žilina,Žilinský,village,18.598667,49.009876
26036869,Kožany,kozany,Bardejov,Prešovský,hamlet,21.5,49.216667
26036870,Liptovské Revúce,liptovske revuce,Ružomberok,Žilinský,village,19.203821,48.932238
