id,producent_id,druh_odpadu_id,t_rok_min,t_rok_stred,t_rok_max,metoda,uroven_dokazu
96,418,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
97,419,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
98,420,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
99,421,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
100,422,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
101,424,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
102,425,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
103,426,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
104,427,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
105,428,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
106,429,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
107,430,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
108,431,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
109,432,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
110,433,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
111,435,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
112,437,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
113,472,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
114,474,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
115,498,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
116,499,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
117,518,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
118,519,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
119,520,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
120,521,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
121,534,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
122,545,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
123,562,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
124,563,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
125,564,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
126,565,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
127,566,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
128,567,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
129,568,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
130,569,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
131,570,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
132,571,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
133,572,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
134,573,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
135,574,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
136,575,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
137,577,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
138,578,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
139,579,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
140,580,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
141,581,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
142,582,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
143,583,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
144,584,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
145,585,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
