ico;nazov;obec;okres;typ_prevadzky;jednotka;hodnota;zdroj
37812769;Materská škola, Kysucký Lieskovec 309;Kysucký Lieskovec;Kysucké Nové Mesto;skola_materska;dieťa;;
37842382;Materská škola, Lazová 926/5, Pata;Pata;Galanta;skola_materska;dieťa;;
37959999;Materská škola, Lhenická 34, Budča;Budča;Zvolen;skola_materska;dieťa;;
37903152;Materská škola, Lietava 368;Lietava;Žilina;skola_materska;dieťa;;
30853711;Materská škola, Linzbothova 9847/18, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_materska;dieťa;;
37990411;Materská škola, Lúčky 14, Holíč;Holíč;Skalica;skola_materska;dieťa;;
37864122;Materská škola, MDŽ 26, Šurany;Šurany;Nové Zámky;skola_materska;dieťa;;
42308763;Materská škola, Malinovského 874, Krupina;Krupina;Krupina;skola_materska;dieťa;;
36129691;Materská škola, Mládežnícka 1438/13, Púchov;Púchov;Púchov;skola_materska;dieťa;;
37841491;Materská škola, Nám. A. Hlinku 32, Cífer;Cífer;Trnava;skola_materska;dieťa;;
37961284;Materská škola, Nám. Gy. Széchényiho 3, Nové Zámky;Nové Zámky;Nové Zámky;skola_materska;dieťa;;
42303117;Materská škola, Nám. SNP 17, Detva;Detva;Detva;skola_materska;dieťa;;
37906089;Materská škola, Ochodnica 355;Ochodnica;Kysucké Nové Mesto;skola_materska;dieťa;;
37947958;Materská škola, Partizánska 22, Humenné;Humenné;Humenné;skola_materska;dieťa;;
37814036;Materská škola, Pod brehom 207, Hruštín;Hruštín;Námestovo;skola_materska;dieťa;;
36129470;Materská škola, Poľovnícka 12, Nové Mesto nad Váhom;Nové Mesto nad Váhom;Nové Mesto nad Váhom;skola_materska;dieťa;;
36130974;Materská škola, Požiarna 1292/11, Púchov;Púchov;Púchov;skola_materska;dieťa;;
53480465;Materská škola, Predmestie 832/26, Levoča;Levoča;Levoča;skola_materska;dieťa;;
37843061;Materská škola, Radošovce 13;Radošovce;Skalica;skola_materska;dieťa;;
42102201;Materská škola, Richnava 260;Richnava;Gelnica;skola_materska;dieťa;;
42324157;Materská škola, Ruskov 280;Ruskov;Košice - okolie;skola_materska;dieťa;;
37904990;Materská škola, Smrečany 117;Smrečany;Liptovský Mikuláš;skola_materska;dieťa;;
37905074;Materská škola, Stavbárska 4, Žilina;Žilina;Žilina;skola_materska;dieťa;;
37904591;Materská škola, Svrčinovec 856;Svrčinovec;Čadca;skola_materska;dieťa;;
37844016;Materská škola, Sídlisko 9. mája 322, Vrbové;Vrbové;Piešťany;skola_materska;dieťa;;
42337071;Materská škola, Sľažany 321;Sľažany;Zlaté Moravce;skola_materska;dieťa;;
51266784;Materská škola, Ul. 29. augusta 384/2A, Most pri Bratislave;Most pri Bratislave;Senec;skola_materska;dieťa;;
53480341;Materská škola, Ulica Gašpara Haina 1237/36, Levoča;Levoča;Levoča;skola_materska;dieťa;;
53480783;Materská škola, Ulica Gustáva Hermanna 225/9, Levoča;Levoča;Levoča;skola_materska;dieťa;;
53480899;Materská škola, Ulica Jána Francisciho 1674/8, Levoča;Levoča;Levoča;skola_materska;dieťa;;
52089282;Materská škola, Ulica Ľ. G. Zaoseka 247/10, Opoj;Opoj;Trnava;skola_materska;dieťa;;
37815687;Materská škola, Východná 715;Východná;Liptovský Mikuláš;skola_materska;dieťa;;
37957660;Materská škola, marš. Malinovského 1985/41, Zvolen;Zvolen;Zvolen;skola_materska;dieťa;;
37904957;Materská škola, Čajakova 4A, Žilina;Žilina;Žilina;skola_materska;dieťa;;
42228409;Materská škola, Čsl. letcov 2, Ľubotice;Ľubotice;Prešov;skola_materska;dieťa;;
36129712;Materská škola, Ľ. Štúra 5/5, Beluša;Beluša;Púchov;skola_materska;dieťa;;
37874314;Materská škola, Školská 231/2, Huncovce;Huncovce;Kežmarok;skola_materska;dieťa;;
37842323;Materská škola, Štefana Majora 1393/175, Veľké Úľany;Veľké Úľany;Galanta;skola_materska;dieťa;;
36648701;1. Súkromné Banskobystrické gymnázium s.r.o.;Banská Bystrica;Banská Bystrica;skola_stredna;žiak;;
42109191;Cirkevná spojená škola, Komenského 6, Spišské Vlachy;Spišské Vlachy;Spišská Nová Ves;skola_stredna;žiak;;
37796046;Cirkevná spojená škola, Švermova 10, Snina;Snina;Snina;skola_stredna;žiak;;
42224055;Evanjelická spojená škola, M. R. Štefánika 19, Martin;Martin;Martin;skola_stredna;žiak;;
31305288;Evanjelické gymnázium Jana Amosa Komenského;Košice;Košice I;skola_stredna;žiak;;
00160539;Gymnázium Andreja Kmeťa;Banská Štiavnica;Banská Štiavnica;skola_stredna;žiak;;
00160717;Gymnázium Antona Bernoláka;Námestovo;Námestovo;skola_stredna;žiak;;
00161268;Gymnázium Cyrila Daxnera;Vranov nad Topľou;Vranov nad Topľou;skola_stredna;žiak;;
17050227;Gymnázium Janka Jesenského;Bánovce nad Bebravou;Bánovce nad Bebravou;skola_stredna;žiak;;
00160482;Gymnázium Janka Kráľa;Zlaté Moravce;Zlaté Moravce;skola_stredna;žiak;;
00399850;Gymnázium Juraja Fándlyho;Šaľa;Šaľa;skola_stredna;žiak;;
17050111;Gymnázium Juraja Szondyho s VJM;Šahy;Levice;skola_stredna;žiak;;
00161101;Gymnázium Jána Adama Raymana;Prešov;Prešov;skola_stredna;žiak;;
00160504;Gymnázium Jána Amosa Komenského;Želiezovce;Levice;skola_stredna;žiak;;
36092479;Gymnázium Jána Baltazára Magina;Vrbové;Piešťany;skola_stredna;žiak;;
17050197;Gymnázium Karola Štúra;Modra;Pezinok;skola_stredna;žiak;;
00598071;Gymnázium Košice;Košice;Košice I;skola_stredna;žiak;;
