ico;nazov;obec;okres;typ_prevadzky;jednotka;hodnota;zdroj
36158950;Základná škola, Školská 7/6, Toporec;Toporec;Kežmarok;skola_zakladna;žiak;;
31810292;Základná škola, Školská ulica 7/19, Sološnica;Sološnica;Malacky;skola_zakladna;žiak;;
35540915;Špeciálna základná škola, Hviezdoslavova 164, Hrabušice;Hrabušice;Spišská Nová Ves;skola_zakladna;žiak;;
35984457;Špeciálna základná škola, Za parkom 966, Veľký Krtíš;Veľký Krtíš;Veľký Krtíš;skola_zakladna;žiak;;
37950410;Cirkevná školská jedáleň, Daxnerova ul. 42, Rimavská Sobota;Rimavská Sobota;Rimavská Sobota;skolska_jedalen;stravník;;
54909082;Súkromná výdajná školská jedáleň Libellus, Bratislava;Bratislava - mestská časť Lamač;Bratislava IV;skolska_jedalen;stravník;;
57802262;Súkromná výdajná školská jedáleň, Dúbravská cesta 11, Bratislava;Bratislava - mestská časť Dúbravka;Michalovce;skolska_jedalen;stravník;;
57769621;Súkromná výdajná školská jedáleň, Rastislavova 332, Nováky;Nováky;Prievidza;skolska_jedalen;stravník;;
56660740;Súkromná školská jedáleň KSPV, Jesenná 18, Prešov;Prešov;Prešov;skolska_jedalen;stravník;;
53800818;Súkromná školská jedáleň VČ s. r. o.;Bratislava - mestská časť Jarovce;Bratislava I;skolska_jedalen;stravník;;
57767394;Súkromná školská jedáleň Zdravý projekt, Pekníkova 6, Bratislava;Bratislava - mestská časť Dúbravka;Michalovce;skolska_jedalen;stravník;;
53390920;Súkromná školská jedáleň, 17. novembra 3723/13, Prešov;Prešov;Prešov;skolska_jedalen;stravník;;
57675112;Súkromná školská jedáleň, Bernolákova 21, Prešov;Prešov;Prešov;skolska_jedalen;stravník;;
57767581;Súkromná školská jedáleň, Bilíková 24, Bratislava;Bratislava - mestská časť Dúbravka;Michalovce;skolska_jedalen;stravník;;
42293570;Súkromná školská jedáleň, Mostová 53;Mostová;Galanta;skolska_jedalen;stravník;;
42251001;Súkromná školská jedáleň, Užhorodská 39, Košice;Košice - mestská časť Juh;Košice IV;skolska_jedalen;stravník;;
42228760;Súkromná školská jedáleň, Volgogradská 3, Prešov;Prešov;Prešov;skolska_jedalen;stravník;;
37886908;Súkromná školská jedáleň, n. o. Prešov;Prešov;Prešov;skolska_jedalen;stravník;;
30847656;Školská jedáleň pri 1. súkromnom gymnáziu, Bajkalská 20, Bratislava;Bratislava - mestská časť Ružinov;Bratislava II;skolska_jedalen;stravník;;
57114838;Školská jedáleň – Mavi s. r. o.;Viničné;Pezinok;skolska_jedalen;stravník;;
37861077;Školská jedáleň, Adyho 4, Štúrovo;Štúrovo;Nové Zámky;skolska_jedalen;stravník;;
35542772;Školská jedáleň, Bernolákova 16, Košice;Košice - mestská časť Západ;Košice II;skolska_jedalen;stravník;;
54007097;Školská jedáleň, Bernolákova ulica 1061, Vranov nad Topľou;Vranov nad Topľou;Vranov nad Topľou;skolska_jedalen;stravník;;
56034831;Školská jedáleň, Hlavná 789, Dolný Štál;Dolný Štál;Dunajská Streda;skolska_jedalen;stravník;;
54006996;Školská jedáleň, Juh 1054, Vranov nad Topľou;Vranov nad Topľou;Vranov nad Topľou;skolska_jedalen;stravník;;
42330238;Školská jedáleň, Juhoslovanská 2, Košice;Košice - mestská časť Sídlisko Ťahanovce;Košice I;skolska_jedalen;stravník;;
35542756;Školská jedáleň, Kežmarská 28, Košice;Košice - mestská časť Západ;Košice II;skolska_jedalen;stravník;;
35545674;Školská jedáleň, Komenského 12, Sobrance;Sobrance;Sobrance;skolska_jedalen;stravník;;
35545666;Školská jedáleň, Komenského 6, Sobrance;Sobrance;Sobrance;skolska_jedalen;stravník;;
54645298;Školská jedáleň, Kysucká 14, Senec;Senec;Senec;skolska_jedalen;stravník;;
54006937;Školská jedáleň, Lúčna 827/26, Vranov nad Topľou;Vranov nad Topľou;Vranov nad Topľou;skolska_jedalen;stravník;;
37812416;Školská jedáleň, M. R. Štefánika 1, Vrútky;Vrútky;Martin;skolska_jedalen;stravník;;
51278308;Školská jedáleň, Námestie A. Hlinku 31, Cífer;Cífer;Trnava;skolska_jedalen;stravník;;
42302188;Školská jedáleň, SNP 1026, Kalinovo;Kalinovo;Poltár;skolska_jedalen;stravník;;
54006805;Školská jedáleň, Sídlisko II 1336, Vranov nad Topľou;Vranov nad Topľou;Vranov nad Topľou;skolska_jedalen;stravník;;
35542764;Školská jedáleň, Trebišovská 10, Košice;Košice - mestská časť Západ;Košice II;skolska_jedalen;stravník;;
31817033;Školská jedáleň, Školská 257, Dunajská Lužná;Dunajská Lužná;Senec;skolska_jedalen;stravník;;
50645935;Školská jedáleň, Školská 491/18A, Teplička nad Váhom;Teplička nad Váhom;Žilina;skolska_jedalen;stravník;;
37847481;Školská jedáleň, Štefana Majora 1444/83, Veľké Úľany;Veľké Úľany;Galanta;skolska_jedalen;stravník;;
